Kategori_Lowongan,Pekerjaan Lowongan,Title,Posisi,Gaji,Gaji Min,Gaji Max,Kualifikasi,Tahun Pengalaman,Umur,Pendidikan,Skill,Link
Lainnya,Lainnya,QS Estimator,QS Estimator,Rp 3.500.000 – Rp 5.000.000 per month,3500000,5000000,"• Melakukan perhitungan kuantitas pekerjaan berdasarkan gambar dan spesifikasi teknis.

• Menyusun dan memverifikasi BoQ, RAB, dan RAP proyek.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85563421
Lainnya,Lainnya,Marketing Asuransi RO Balikpapan,Marketing Asuransi RO Balikpapan,Tidak dicantumkan,N/A,N/A,Deskripsi pekerjaan :Bertanggung jawab atas pencapaian Target Marketing yang telah ditetapkan oleh Group Head Membangun relasi dan komunikasi yang...,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85294147
Lainnya,Lainnya,Business Manager (Automotive Insurance),Business Manager (Automotive Insurance),Tidak dicantumkan,N/A,N/A,"BM Insurance bertanggungjawab untuk memenuhi target penjualan, memastikan kinerja tinggi, dan berkontribusi pada pertumbuhan bisnis secara keseluruhan",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84878239
Management,Management,Fleet Management Supervisor,Fleet Management Supervisor,Tidak dicantumkan,N/A,N/A,"Sebagai Fleet Management Supervisor, Anda akan bertanggungjawab dalam mempersiapkan armada dan awaknya untuk memastikan operasional pengiriman berj...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/78874931
Finance,Finance,FINANCE & ACCOUNTING MANAGER,FINANCE & ACCOUNTING MANAGER,Rp 10.000.000 – Rp 15.000.000 per month,10000000,15000000,Lead the finance team at a growing intenational school. Excellent work-life balance and opportunities for advancement.,N/A,N/A,N/A,"excel,finance",https://id.jobstreet.com/id/job/85621738
Dokter,Dokter,Walk in Interview Medical Representative,Walk in Interview Medical Representative,Tidak dicantumkan,N/A,N/A,"Mempresentasikan Produk Oral, Injeksi, Antibiotik, OGB, dan Askes Melakukan promosi produk kepada Dokter Menciptakan permintaan terhadap produk...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85685662
Lainnya,Lainnya,Operation Supervisor (Surabaya Placement),Operation Supervisor (Surabaya Placement),Tidak dicantumkan,N/A,N/A,"Good Team, Salary Competitive",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85665551
Mechanic,Mechanic,MEP QS,MEP QS,Rp 8.000.000 – Rp 10.000.000 per month,8000000,10000000,"Specialist in the construction industry responsible for managing all costs related to Mechanical, Electrical, and Plumbing (MEP) services on a project",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85409488
Lainnya,Lainnya,Manager Marketing Engineering,Manager Marketing Engineering,Rp 10.000.000 – Rp 12.000.000 per month,10000000,12000000,Pekerjaan ini memberikan kesempatan bagi Anda untuk membangun konektivitas baru dengan berbagai lini di industri manufaktur lokal maupun internasional,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85203586
Sales,Sales,Sales Support ExIm(Freight Forwarding),Sales Support ExIm(Freight Forwarding),Rp 5.100.000 – Rp 7.000.000 per month,5100000,7000000,.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84971451
Lainnya,Lainnya,Drafter Electrical Project,Drafter Electrical Project,Rp 5.000.000 – Rp 6.750.000 per month,5000000,6750000,Membuat Engineering Drawing,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85485272
Arsitek,Arsitek,Architect,Architect,Rp 9.450.000 – Rp 11.700.000 per month,9450000,11700000,PT. LKS membuka kesempatan bagi Arsitek In-House untuk mendukung proyek rumah “green” dan “heritage” di bawah arahan kreatif Irianto Purnomo Hadi. ,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85006213
Sales,Sales,Sales Supervisor for Distribution,Sales Supervisor for Distribution,Tidak dicantumkan,N/A,N/A,Kualifikasi: Pendidikan minimal D3 / S1 semua jurusan Memiliki kendaraan roda dua dan SIM C Memiliki pengalaman minimal 1 tahun sebagai Salesman...,1,N/A,"S1,D3",N/A,https://id.jobstreet.com/id/job/85591044
Digital Marketing,Digital Marketing,Digital Marketing (Internship),Digital Marketing (Internship),Tidak dicantumkan,N/A,N/A,"Create engaging and audience-relevant content for various digital platforms, including social media",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85101845
Lainnya,Lainnya,Product Engineer,Product Engineer,Tidak dicantumkan,N/A,N/A,"Designs and improves fastener products, ensuring quality and manufacturability through cross-functional collaboration and technical analysis.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85007860
Lainnya,Lainnya,Content Creator - Community-focused,Content Creator - Community-focused,Rp 6.000.000 – Rp 8.000.000 per month,6000000,8000000,"We’re looking for a Content Creator who excels at nurturing an existing community through high-quality, consistent, and engaging content. ",N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/84955921
Lainnya,Lainnya,Office Manager / Front Desk Officer,Office Manager / Front Desk Officer,Tidak dicantumkan,N/A,N/A,The British School of Bali is now seeking a distinguished and experienced Office Manager to join us in this exciting new chapter.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85589022
Lainnya,Lainnya,Senior / Geologist (Resource Modelling),Senior / Geologist (Resource Modelling),Tidak dicantumkan,N/A,N/A,"Melakukan pemodelan geologi batubara berdasarkan data eksplorasi, pengeboran, dan pemetaan lapangan",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85536214
Sales,Sales,Sales Lapangan,Sales Lapangan,Rp 4.300.000 – Rp 5.500.000 per month,4300000,5500000,"Berkunjung ke pantai dan lokasi bahari untuk melayani kebutuhan pemilik mesin tempel Yamaha di Indonesia. Ilmu teknis, problem-solving, komunikasi",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84944595
Lainnya,Lainnya,Color & Material Manager,Color & Material Manager,Tidak dicantumkan,N/A,N/A,"Professionals in chemical engineering and industrial engineering, involved in optimizing all related processes in managing the Material & Mixing Dept.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85540804
Recruitment,Recruitment,HR Specialist / Senior Staff,HR Specialist / Senior Staff,Tidak dicantumkan,N/A,N/A,"Support HR functions including recruitment, training, employee relations, compliance, and coordination with internal departments.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85306822
Tax,Tax,Accounting & Tax,Accounting & Tax,Rp 4.500.000 – Rp 5.500.000 per month,4500000,5500000,"Gaji Pokok, BPJS Ketenagakerjaan, Cuti Kerja",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85009826
Sales,Sales,SALESMAN,SALESMAN,Tidak dicantumkan,N/A,N/A,"Kompensasi kompetitif, peluang pengembangan karir, dan lingkungan kerja kolaboratif. Bergabunglah dengan kami sebagai Salesman!",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84978878
Lainnya,Lainnya,Marketing Associates,Marketing Associates,Rp 15.000.000 – Rp 20.000.000 per month,15000000,20000000,sebagai Marketing Associate adalah menjadi partner usaha sekaligus menjadi pengusaha mandiri tanpa perlu modal yang banyak.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85605013
Finance,Finance,FINANCE ASSISTANT MANAGER,FINANCE ASSISTANT MANAGER,Tidak dicantumkan,N/A,N/A,The Finance Assistant Manager will be reporting to Finance Accounting Manager and assist for finance matters along with other ad hoc issues.,N/A,N/A,N/A,"finance,accounting",https://id.jobstreet.com/id/job/85562931
Sales,Sales,Sales Retail Area Jakarta Selatan,Sales Retail Area Jakarta Selatan,Rp 5.000.000 – Rp 6.000.000 per month,5000000,6000000,Manage outlets to achieve targets,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85137919
Lainnya,Lainnya,CREW STORE Bengkulu,CREW STORE Bengkulu,Rp 5.000.000 – Rp 7.500.000 per month,5000000,7500000,"Menjelaskan spesifikasi produk, memberikan simulasi hitungan biaya produk yang dijual kepada konsumen.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85191892
Logistik,Logistik,Driver,Driver,Rp 4.900.000 – Rp 5.000.000 per month,4900000,5000000,Menjadi driver logistik dengan lingkungan kerja yang baik,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85600080
Seo,Seo,Maintenance Officer,Maintenance Officer,Tidak dicantumkan,N/A,N/A,"Sebagai seorang Maintenance Officer, memeriksa kerusakan, melakukan perbaikan dan pemasangan dengan benar merupakan tugas utama Anda. Begitu pula...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/82663211
Sales,Sales,Sea Logistics Field Sales Representative,Sea Logistics Field Sales Representative,Tidak dicantumkan,N/A,N/A,"Drive sea freight sales in Medan by securing new business, managing clients, and delivering tailored logistics solutions",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84982890
Sales,Sales,Sales Project Supervisor Jakarta area,Sales Project Supervisor Jakarta area,Tidak dicantumkan,N/A,N/A,"Leads and manages a team of sales professionals, focusing on achieving sales targets and objectives",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85620841
Bidan,Bidan,Accountant,Accountant,Rp 4.000.000 – Rp 6.000.000 per month,4000000,6000000,Group Perusahaan yang sedang berkembang membutuhkan kandidat yang kompeten pada bidangnya.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85619694
Management,Management,Depo Operation Team (Palembang & Ternate),Depo Operation Team (Palembang & Ternate),Tidak dicantumkan,N/A,N/A,This job is focusing on warehousing management for Spareparts of Hino vehicles ,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85103119
Finance,Finance,Senior Finance Executive,Senior Finance Executive,Tidak dicantumkan,N/A,N/A,"9 Dots Consulting Group as a specialist Business Solutions Provider in the APAC. With offices in Singapore, Malaysia, Thailand and Indonesia.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85541660
Lainnya,Lainnya,Process Industrial Engineer,Process Industrial Engineer,Tidak dicantumkan,N/A,N/A,"You will play a pivotal role in ensuring the efficiency, reliability, and safety of manufacturing processes",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85609658
Lainnya,Lainnya,Merchandising Manager (All-categories),Merchandising Manager (All-categories),Tidak dicantumkan,N/A,N/A,"Please submit your application via ""Apply Now"" button.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85617039
Management,Management,Regulatory Management,Regulatory Management,Rp 6.000.000 – Rp 8.000.000 per month,6000000,8000000,"Interested in automation and process excellence, preferred candidate has experience in creating SOP.",N/A,N/A,N/A,excel,https://id.jobstreet.com/id/job/85680833
Akuntan,Akuntan,Accounting Assistant Manager,Accounting Assistant Manager,Tidak dicantumkan,N/A,N/A,"MMengelola pencatatan keuangan, laporan pajak, dan laporan keuangan secara akurat dan tepat waktu sesuai prinsip akuntansi yang berlaku.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85296276
Lainnya,Lainnya,PRODUCT SPECIFIER,PRODUCT SPECIFIER,Rp 5.000.000 – Rp 5.500.000 per month,5000000,5500000,Presenting brand and product to specified target market & assisting customers with technical knowledge before project dealing,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84764196
Finance,Finance,ACCOUNT MANAGER,ACCOUNT MANAGER,Tidak dicantumkan,N/A,N/A,"You will build strong client relationships, understand needs in legal, finance, tax, and HR, and ensure excellent service delivery.",N/A,N/A,N/A,"excel,finance,tax",https://id.jobstreet.com/id/job/85558742
Finance,Finance,Assistant Finance and Accounting Manager,Assistant Finance and Accounting Manager,Tidak dicantumkan,N/A,N/A,"Mida Trade Ventures Indonesia, a trading & brokerage company experience sourcing and selling seafood is inviting a passionate  individual to join us.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85458282
Lainnya,Lainnya,Quality Engineer,Quality Engineer,Tidak dicantumkan,N/A,N/A,"You will be responsible for Control the quality of the process, participate in the confirmation of samples, and handle abnormalities in the process",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85610190
Lainnya,Lainnya,Operations Manager (OM),Operations Manager (OM),Rp 8.000.000 – Rp 12.000.000 per month,8000000,12000000,"Tunjangan menarik, lingkungan kerja dinamis, dan kesempatan pengembangan karier di perusahaan sumber daya alam terkemuka.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85128119
Lainnya,Lainnya,Operator Mesin,Operator Mesin,Rp 5.000.000 – Rp 7.000.000 per month,5000000,7000000,Membutuhkan suatu kandidat yang rajin dan mau bekerja sama membangun perusahaan supaya lebih maju.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85685468
Lainnya,Lainnya,Accounting Intern,Accounting Intern,Tidak dicantumkan,N/A,N/A,We are looking for an accountant intern at our company,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85438326
Lainnya,Lainnya,BANCASSURANCE SPESIALIST - TANJUNG PRIOK & SEKITARNYA,BANCASSURANCE SPESIALIST - TANJUNG PRIOK & SEKITARNYA,Tidak dicantumkan,N/A,N/A,BANCASSURANCE SPECIALIST (BAS)Representative BNI Life yang akan ditempatkan di cabang Bank BNI bertugas melakukan pemasaran produk Bancassurance...,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85490986
Project Manager,Project Manager,Senior Project Manager,Senior Project Manager,Tidak dicantumkan,N/A,N/A,"Lead the planning, execution, and delivery of mining-related projects (e.g., tailings, mine waste, mine closure, heap leach).",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84997970
Software Engineer,Software Engineer,Assistant software Engineer - Intern (Paid Internship),Assistant software Engineer - Intern (Paid Internship),Tidak dicantumkan,N/A,N/A,"Paid internship in dynamic tech firm - gain valuable experience, collaborate with cross-functional teams.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85617203
Management,Management,HRGA Manager,HRGA Manager,Tidak dicantumkan,N/A,N/A,"Responsible Design training, Strategy Hiring process, develop organizational design and performance management system",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84877763
Lainnya,Lainnya,Financial Advisor - Sorong,Financial Advisor - Sorong,Rp 3.200.000 – Rp 4.800.000 per month,3200000,4800000,"Financial Advisor adalah perencana keuangan nasabah yang bertugas untuk merencanakan, dan memasarkan produk asuransi sesuai dengan kebutuhan nasabah",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85679299
Sales,Sales,AfterSales,AfterSales,Tidak dicantumkan,N/A,N/A,"Bangun hubungan kuat dengan pelanggan, kembangkan strategi retensi, dan tingkatkan kepuasan klien kami.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84859832
Lainnya,Lainnya,Customer Care Associate,Customer Care Associate,Tidak dicantumkan,N/A,N/A,"PT BIS SOLO sedang membuka lowongan untuk posisi Penuh waktu Customer Care Associate di Triyagan, Jawa Tengah. Lamar sekarang untuk menjadi bagian...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85618548
Lainnya,Lainnya,Promotor,Promotor,Tidak dicantumkan,N/A,N/A,"PT METRO POWER PERSADA sedang membuka lowongan untuk posisi Penuh waktu Promotor di Sukadamai, Banten. Lamar sekarang untuk menjadi bagian dari tim...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85264565
Lainnya,Lainnya,OPERATION LIVE STREAMING STAFF,OPERATION LIVE STREAMING STAFF,Rp 7.000.000 – Rp 10.000.000 per month,7000000,10000000,Melakukan manajemen para talent host live,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85621304
Perawat,Perawat,PRODUK SPESIALIS,PRODUK SPESIALIS,Rp 5.300.000 – Rp 7.500.000 per month,5300000,7500000,Bergabunglah dengan tim dinamis kami dan ikut mewujudkan solusi perawatan kesehatan yang transformatif.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85088680
Sales,Sales,Sales Account Manager,Sales Account Manager,Tidak dicantumkan,N/A,N/A,A professional ready to give the commitment needed for success.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85661543
Sales,Sales,Customer Experience (Progress Advisor),Customer Experience (Progress Advisor),Rp 5.100.000 – Rp 5.300.000 per month,5100000,5300000,"Help English One deliver great service & reach sales targets by having good relations with customers. If you love education, you'll love this role!",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84985031
Seo,Seo,"MARKETING LEGALITAS ,PERIZINAN,AHLI FRANCHISE , IPO, KOL ,SEO, MEDSO SPESIALIST","MARKETING LEGALITAS ,PERIZINAN,AHLI FRANCHISE , IPO, KOL ,SEO, MEDSO SPESIALIST",Rp 10.000.000 – Rp 15.000.000 per month,10000000,15000000,"Kepala Koordinator Franchise,
SEO Specialist
Kol Koordinator
IPO Koordinator
Akunting Pajak
HRD (Human Resources Development)
Media Sosial Specialist",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85367151
Sales,Sales,Online Sales Supervisor,Online Sales Supervisor,Rp 5.000.000 – Rp 5.500.000 per month,5000000,5500000,Pimpin tim penjualan online. Lingkungan kerja dinamis dan budaya kerja yang mendukung pengembangan diri. Asuransi komprehensif.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85052939
Lainnya,Lainnya,Marketing Staff Semarang,Marketing Staff Semarang,Rp 4.000.000 – Rp 5.000.000 per month,4000000,5000000,"Kami mencari kandidat dengan sikap kerja profesional, integritas yang tinggi dan komunikasi skill yang baik untuk bergabung dengan tim Marketing kami.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85406107
Lainnya,Lainnya,Brand Associate Manager,Brand Associate Manager,Tidak dicantumkan,N/A,N/A,Responsible for executing STP strategies to strengthen brand presence and grow brand equity. ,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85001700
Perawat,Perawat,Perawat ICU,Perawat ICU,Tidak dicantumkan,N/A,N/A,Perawat dengan sertifikasi pelatihan ICU dengan kesempatan belajar dan mengembangkan pengetahuan dalam bidang keperawatan kritis,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85013250
Lainnya,Lainnya,Assistant Marketing Manager (Reporting),Assistant Marketing Manager (Reporting),Tidak dicantumkan,N/A,N/A,"Grow your marketing analytics skills and drive business impact in a dynamic, supportive environment. Apply now!",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85593146
Production,Production,Production & Sourcing Manager,Production & Sourcing Manager,Tidak dicantumkan,N/A,N/A,"Managing full cycle apparel production,sourcing,and delivery to ensure quality, timeliness, and smooth coordination with suppliers and internal teams",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85057678
Lainnya,Lainnya,Staff Talent & Content Creator,Staff Talent & Content Creator,Rp 5.000.000 – Rp 5.500.000 per month,5000000,5500000,Content creator & Talent,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85536228
Akuntan,Akuntan,Tax Staff,Tax Staff,Tidak dicantumkan,N/A,N/A,"Gaji kompetitif sesuai pengalaman dan kualifikasi.
Peluang pengembangan karier di bidang akuntansi.
Lingkungan kerja yang dinamis dan profesional.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84893504
Fullstack,Fullstack,Fullstack Developer IT,Fullstack Developer IT,Rp 6.000.000 – Rp 7.000.000 per month,6000000,7000000,Membutuhkan pekerjaan Full Stack Developer IT untuk mengembangkan dan memelihara situs e-commerce penjualan PT. Hayami Kreasi Indonesia,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85531318
Lainnya,Lainnya,Content Creator / Video Producer,Content Creator / Video Producer,Rp 4.500.000 – Rp 5.100.000 per month,4500000,5100000,Dibutuhkan content creator / video editor yang punya ketertarikan membangun brand produk2 teknik industri dari nol & bisa bekerja sama dengan tim.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85069697
Sales,Sales,Sales industri,Sales industri,Tidak dicantumkan,N/A,N/A,PT.TDS paint (www.tdspaint.co.id) membutuhkan Sales industri khusus produk cat,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85607084
Management,Management,Vendor Management,Vendor Management,Tidak dicantumkan,N/A,N/A,.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84940228
Lainnya,Lainnya,MANAGER KLINIK ESTETIKA,MANAGER KLINIK ESTETIKA,Rp 8.000.000 – Rp 12.000.000 per month,8000000,12000000,Peluang karir manajer klinik estetika di Dr Khe & Co Clinic' dengan kompensasi kompetitif dan pengembangan profesional.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85272088
Lainnya,Lainnya,Staf Produksi,Staf Produksi,Tidak dicantumkan,N/A,N/A,"PT Lumbung Botol PlastikIndo sedang membuka lowongan untuk posisi Penuh waktu Staf Produksi di Parangjoro, Jawa Tengah. Lamar sekarang untuk...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85562925
Lainnya,Lainnya,Domestic Flight Intern,Domestic Flight Intern,Tidak dicantumkan,N/A,N/A,"Check outstanding refunds with Vlookup and reporting to superior staff and the process can be done almost every day
Reporting Capacity for 148...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85315138
Recruitment,Recruitment,HR & Legal,HR & Legal,Tidak dicantumkan,N/A,N/A,"This role allows you in identifying, engaging, and securing best candidates,  simultaneously ensure all recruitment practices are legally sound.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85108794
Lainnya,Lainnya,Store Supervisor,Store Supervisor,Tidak dicantumkan,N/A,N/A,"Sebagai Store Supervisor, Anda akan menyusun strategi penjualan dan mensosialisasikan kepada tim, termasuk mengatus strategi display dan memastikan...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/81746192
Lainnya,Lainnya,Surveyor (Jabodetabek),Surveyor (Jabodetabek),Tidak dicantumkan,N/A,N/A,"Kualifikasi : SMK, D3 atau S1 Teknik Geodesi Pengalaman sebagai surveyor di proyek gedung / pabrik / gudang minimum 2 tahun Menguasai alat ukur Total",2,N/A,"S1,D3,SMK",N/A,https://id.jobstreet.com/id/job/85668449
Lainnya,Lainnya,Accounting SPV,Accounting SPV,Tidak dicantumkan,N/A,N/A,Membuat closing laporan keuangan bulanan,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85538411
Lainnya,Lainnya,Mekanik ( Unit LV ),Mekanik ( Unit LV ),Rp 6.000.000 – Rp 7.000.000 per month,6000000,7000000,Dibutuhkan mekanik yang handal & berpengalaman untuk menangani unit Light Vehicle,N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/84970749
Production,Production,Drafter,Drafter,Tidak dicantumkan,N/A,N/A,"Job Description  : Making CAD drawings for pump units, pump sets, and parts Support operations, production, engineering, procurement, marketing...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85680097
Lainnya,Lainnya,Marketing & Community Coordinator,Marketing & Community Coordinator,Rp 4.900.000 – Rp 5.500.000 per month,4900000,5500000,"Be the voice of Indonesia’s trail scene—build community, craft stories, and turn your passion for sport and creativity into real impact.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84981427
Lainnya,Lainnya,BRAND ASSOCIATE,BRAND ASSOCIATE,Tidak dicantumkan,N/A,N/A,"Drive brand growth, strategy & metrics. Join dynamic team as Brand Associate in Central Jakarta.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85304987
Lainnya,Lainnya,Drafter MEP,Drafter MEP,Rp 5.500.000 – Rp 7.000.000 per month,5500000,7000000,"Jadilah bagian dari tim kami sebagai Drafter MEP di CONAKA, kembangkan karier Anda dengan proyek inovatif dan peluang kerja profesional!",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85064232
Lainnya,Lainnya,Operator Mesin,Operator Mesin,Tidak dicantumkan,N/A,N/A,"Sebagai Operator Mesin, Anda akan bertanggung jawab dalam proses produksi mulai dari persiapan bahan, pengerjaan, pengecekan hasil produksi hingga...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/83814849
Education,Education,Faculty Member Part-time (AFM) Accounting SATU University @ Pontianak,Faculty Member Part-time (AFM) Accounting SATU University @ Pontianak,Tidak dicantumkan,N/A,N/A,"Minimal Master Degree in Accounting Major
Experience in the higher education institution",N/A,N/A,Master,accounting,https://id.jobstreet.com/id/job/84903227
Lainnya,Lainnya,KYC Onboarding,KYC Onboarding,Rp 5.500.000 – Rp 7.000.000 per month,5500000,7000000,KYC Onboarding / Verificator,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85139688
Social Media,Social Media,Content Creator,Content Creator,Tidak dicantumkan,N/A,N/A,"Requirements: At least 1 or more years of experience in Social Media Brand/ Community Young, energetic, creative, and supportive work environment ...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85628118
Lainnya,Lainnya,Team Leader Tanggamus,Team Leader Tanggamus,Tidak dicantumkan,N/A,N/A,"Sebagai Team Leader, posisi ini akan bertanggung jawab atas keseluruhan pengelolaan & monitoring Kantor Point/Cabang meliputi:
Memastikan kualitas...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/82390775
Sales,Sales,SALES REPRESENTATIVE (SOLO),SALES REPRESENTATIVE (SOLO),Tidak dicantumkan,N/A,N/A," Menjual produk-produk Kimia Bangunan (Building Chemicals), yaitu Aquaproof, Heatgard, Betonmix, Aquagard ke pasar tradisional dan retail....",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85102660
Recruitment,Recruitment,AIF - AHM - Recruitment Analyst Intern,AIF - AHM - Recruitment Analyst Intern,Tidak dicantumkan,N/A,N/A,"Bersedia ditugaskan di seluruh plant AHM & jaringannya
Bersedia ditugaskan di area kantor dan pabrik",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85295888
Interior Designer,Interior Designer,Interior Designer,Interior Designer,Tidak dicantumkan,N/A,N/A,Interior designer akan berpartisipasi dalam penanganan keseluruhan proyek mulai dari proses awal hingga akhir. ,N/A,N/A,N/A,erp,https://id.jobstreet.com/id/job/85016776
Management,Management,Verifikator Digital - Branch Banjarmasin,Verifikator Digital - Branch Banjarmasin,Tidak dicantumkan,N/A,N/A,Gaji Pokok Sesuai UMP/UMK (Untuk Staff) & Diatas UMP/UMK (Untuk Management Trainee) Insentif (Untuk Posisi dengan Target Bulanan) Jenjang Karir...,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85573831
Database,Database,Customer Relationship Executive Branch Depok,Customer Relationship Executive Branch Depok,Tidak dicantumkan,N/A,N/A,Melakukan folow-up database yang diberikan oleh Telesales dan melakukan visit terhadap konsumen yang pernah pengajuan di BFI. Menawarkan kembali...,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/81882053
Lainnya,Lainnya,Marine Superintendent (ANT I),Marine Superintendent (ANT I),Tidak dicantumkan,N/A,N/A,GENERAL INFORMATION :Type               : Office JobWork Location : Central Jakarta Indonesia JOB SUMMARY :To ensure the safe operation of the...,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85451336
Lainnya,Lainnya,Surveyor (AISI),Surveyor (AISI),Tidak dicantumkan,N/A,N/A,"Competitive salary, comprehensive benefits, and opportunities for career advancement in a collaborative work culture.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85531643
Maintenance,Maintenance,Building Engineering Manager,Building Engineering Manager,Tidak dicantumkan,N/A,N/A,"This role will handle overall operation, maintenance, and safety of a building or group of properties.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85304038
Mechanic,Mechanic,Light Vehicle Mechanic,Light Vehicle Mechanic,Tidak dicantumkan,N/A,N/A,Ambitious and innovative individuals will play an essential role in shaping our company's trajectory and unlocking new paths for growth and success.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85534379
