Kategori_Lowongan,Pekerjaan Lowongan,Title,Posisi,Gaji,Gaji Min,Gaji Max,Kualifikasi,Tahun Pengalaman,Umur,Pendidikan,Skill,Link
Admin,Admin,Assessment Center Admin Internship,Assessment Center Admin Internship,Tidak dicantumkan,N/A,N/A,Kami mencari Intern yang bersemangat untuk bergabung dengan tim Assessment Center kami.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011752
Lainnya,Lainnya,Model Validation Department Head (Banking),Model Validation Department Head (Banking),Tidak dicantumkan,N/A,N/A,"On behalf of our reputable banking client, we are looking candidate for holding the role of:

 

Model Validation Department Head

 ",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011540
Sales,Sales,Sales Engineer (Special Cutting Tool),Sales Engineer (Special Cutting Tool),Tidak dicantumkan,N/A,N/A,Mengembangkan penjualan dan potensi penjualan secara vertikal dan horizontal ,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85025994
Lainnya,Lainnya,Account Payable Supervisor (Toli-Toli),Account Payable Supervisor (Toli-Toli),Tidak dicantumkan,N/A,N/A,"Accounts Payable Supervisor to lead the AP team and ensure smooth, timely, and compliant vendor payment processes. ",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84942294
Lainnya,Lainnya,Leasing Manager,Leasing Manager,Tidak dicantumkan,N/A,N/A,"Memiliki pengalaman min 6 tahun dalam penyewaan ritel, khususnya Lifestyle destination, Mixed-use development, atau shopping mall.",6,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84942058
Sales,Sales,Sales Promotor (SPG/SPB) - Bangka Belitung,Sales Promotor (SPG/SPB) - Bangka Belitung,Tidak dicantumkan,N/A,N/A,"Penjualan produk Paylater, memberikan informasi, membantu pengisian aplikasi, mencapai target, dan melaporkan hasil penjualan harian.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85011101
Lainnya,Lainnya,SENIOR FIELD COLLECTION AREA BANYUWANGI (JAWA TIMUR),SENIOR FIELD COLLECTION AREA BANYUWANGI (JAWA TIMUR),Rp 5.000.000 – Rp 7.500.000 per month,5000000,7500000,MELAKUKAN KUNJUNGAN KERUMAH NASABAH UNTUK MENG EDUKASI NASABAH YANG MEMILIKI KREDIT DI HOME CREDIT INDONESIA,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85025747
Management,Management,Finance,Finance,Rp 4.000.000 – Rp 6.000.000 per month,4000000,6000000,Memiliki pengalaman di bidang investasi dan financial management untuk new business expansion.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84942178
Lainnya,Lainnya,Loss Adjuster – Electronic Engineering (Placement Jakarta & Tangerang),Loss Adjuster – Electronic Engineering (Placement Jakarta & Tangerang),Tidak dicantumkan,N/A,N/A,"- Bachelor degree in Electrical Engineering/ Telecommunication Engineering
- Maximum 40 years old",N/A,40,Bachelor,communication,https://id.jobstreet.com/id/job/84956511
Mechanic,Mechanic,Loss Adjuster - Mechanical Engineering (placement in Jakarta & Tangerang),Loss Adjuster - Mechanical Engineering (placement in Jakarta & Tangerang),Tidak dicantumkan,N/A,N/A,"Maximum 40 years old, Bachelor degree in Mechanical Engineering",N/A,40,Bachelor,N/A,https://id.jobstreet.com/id/job/84956529
Lainnya,Lainnya,Brand Visibility Staff,Brand Visibility Staff,Tidak dicantumkan,N/A,N/A,A growing PET Food company invites you to join.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85025489
Technician,Technician,L4 Motherboard Repair Technician - Carlcare Service Center,L4 Motherboard Repair Technician - Carlcare Service Center,Tidak dicantumkan,N/A,N/A,-,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026534
